Costo de la solución:
 902,087243072561 

1	1	63,222	134	0	3	44	32	9	39	40	0	0
1	2	54,037	133	0	4	67	26	12	17	6	0	0
1	3	98,056	139	0	7	35	8	54	19	53	38	58	0	0
1	4	97,203	138	0	11	65	66	59	14	0	0
1	5	115,816	136	0	13	57	15	37	20	70	60	71	69	36	47	0	0
1	6	125,829	131	0	23	56	41	43	42	64	22	61	0	0
1	7	49,581	136	0	34	46	52	27	29	45	75	0	0
1	8	90,861	140	0	48	5	21	28	62	1	73	0	0
1	9	135,48	140	0	49	24	18	50	25	55	31	10	72	0	0
1	10	71,996	137	0	51	16	63	33	2	74	30	68	0	0

Tiempo de ejecución:
 11,3444062499984 
