Costo de la solución:
 1682,57306137109 

1   1   131,829	122	0	115	12	144	145	17	63	0
1   2   127,028	98	0	114	78	38	76	49	90	103	0
1   3   96,035	117	0	36	85	35	84	128	29	129	53	127	126	0
1   4   117,539	136	0	99	149	4	143	109	142	146	47	0
1   5   110,512	145	0	117	73	125	33	91	45	72	124	123	0
1   6   99,08	186	0	141	19	94	88	40	136	41	66	111	135	0
1   7   96,35	188	0	57	98	24	97	43	69	7	112	48	81	0
1   8   98,551	127	0	77	102	6	132	14	86	23	138	27	46	0
1   9   99,475	122	0	119	1	22	70	116	31	82	140	26	8	0
1   10   95,559	150	0	32	101	3	121	59	20	131	83	130	50	0
1   11   95,941	156	0	58	96	95	25	67	13	134	55	18	110	0
1   12   104,894	120	0	60	61	113	28	80	120	51	100	11	0
1   13   106,962	79	0	148	44	92	93	65	107	15	71	10	0
1   14   93,876	159	0	62	104	30	54	105	75	39	89	106	122	0
1   15   83,814	148	0	139	56	147	87	150	64	42	137	52	37	108	0
1   16   81,506	159	0	2	16	118	21	79	74	34	9	5	0
1   17   43,614	23	0	133	68	0
1   18   0	0	0	0

Tiempo de ejecución:
 246,14346875 
