Iteraciones:   1945 

Costo         Vehículos     Tiempo [seg]
 0             0             1,124 
 1551,961      8             2,109 
 1529,314      8             3,14 
 1404,641      8             4,28 
 1404,641      8             5,296 
 1404,641      8             6,312 
 1404,641      8             7,546 
 1404,641      8             8,374 
 1404,641      8             9,234 
 1353,983      8             10,187 
 1353,983      8             11,124 
 1353,983      8             12,187 
 1353,983      8             13,343 
 1353,983      8             14,39 
 1353,983      8             15,14 
 1353,983      8             15,827 
 1353,983      8             16,89 
 1353,983      8             17,734 
 1353,983      8             18,406 
 1353,983      8             19,218 
 1353,983      8             20,077 
 1353,983      8             21,124 
 1353,983      8             21,984 
 1353,983      8             23,187 
 1341,438      8             24,265 
 1279,706      8             25,281 
 1279,706      8             26,327 
 1279,706      8             27,14 
 1279,706      8             28,327 
 1279,706      8             29,202 
 1279,706      8             29,984 
 1279,706      8             30,89 
 1279,706      8             31,703 
 1279,706      8             32,656 
 1279,706      8             33,421 
 1279,706      8             34,374 
 1279,706      8             35,203 
 1279,706      8             36,078 
 1279,706      8             37,406 
 1279,706      8             38,328 
 1279,706      8             39,062 
 1279,706      8             40,187 
 1279,706      8             41,359 
 1279,706      8             42,343 
 1279,706      8             43,125 
 1279,706      8             43,984 
 1279,706      8             44,984 
 1279,706      8             45,672 
 1279,706      8             46,484 
 1279,706      8             47,312 
 1279,706      8             48,344 
 1279,706      8             49,281 
 1279,706      8             50,156 
 1279,706      8             51,235 
 1279,706      8             52,172 
 1279,706      8             53,141 
 1279,706      8             53,969 
 1279,706      8             54,766 
 1279,706      8             55,688 
 1279,706      8             57,063 
 1279,706      8             57,891 
 1279,706      8             58,642 
 1279,706      8             59,657 
 1279,706      8             60,689 
 1279,706      8             61,548 
 1279,706      8             62,392 
 1279,706      8             63,329 
 1279,706      8             64,423 
 1279,706      8             65,158 
 1279,706      8             65,97 
 1279,706      8             67,158 
 1279,706      8             68,017 
 1279,706      8             68,892 
 1279,706      8             69,721 
 1279,706      8             70,58 
 1279,706      8             71,377 
 1279,706      8             72,127 
 1279,706      8             72,955 
 1279,706      8             73,69 
 1279,706      8             74,955 
 1279,706      8             75,784 
 1279,706      8             76,534 
 1279,706      8             77,581 
 1279,706      8             78,503 
 1279,706      8             79,487 
 1279,706      8             80,721 
 1279,706      8             81,518 
 1279,706      8             82,393 
 1279,706      8             83,581 
 1279,706      8             84,612 
 1279,706      8             85,472 
 1279,706      8             86,613 
 1279,706      8             87,644 
 1279,706      8             88,785 
 1279,706      8             89,675 
 1279,706      8             90,754 
 1279,706      8             91,894 
 1279,706      8             92,847 
 1279,706      8             93,676 
 1279,706      8             94,52 
 1279,706      8             95,348 
 1279,706      8             96,051 
 1279,706      8             96,817 
 1279,706      8             97,91 
 1279,706      8             98,864 
 1279,706      8             99,614 
 1279,706      8             100,833 
 1279,706      8             101,786 
 1279,706      8             102,723 
 1279,706      8             103,426 
 1279,706      8             104,364 
 1279,706      8             105,255 
 1279,706      8             105,989 
 1279,706      8             106,771 
 1279,706      8             107,661 
 1279,706      8             108,833 
 1279,706      8             109,677 
 1279,706      8             110,771 
 1279,706      8             111,771 
 1279,706      8             112,943 
 1279,706      8             113,787 
 1279,706      8             114,865 
 1279,706      8             115,912 
 1279,706      8             116,693 
 1279,706      8             117,459 
 1279,706      8             118,396 
 1279,706      8             119,428 
 1279,706      8             120,35 
 1279,706      8             121,506 
 1279,706      8             122,428 
 1279,706      8             123,444 
 1279,706      8             124,491 
 1279,706      8             125,366 
 1279,706      8             126,413 
 1279,706      8             127,335 
 1279,706      8             128,382 
 1279,706      8             129,272 
 1279,706      8             130,054 
 1279,706      8             131,148 
 1279,706      8             132,132 
 1279,706      8             132,866 
 1279,706      8             133,82 
 1279,706      8             134,585 
 1279,706      8             135,414 
 1279,706      8             136,335 
 1279,706      8             137,117 
 1279,706      8             137,882 
 1279,706      8             138,711 
 1279,706      8             139,539 
 1279,706      8             140,476 
 1279,706      8             141,32 
 1279,706      8             142,289 
 1279,706      8             143,102 
 1279,706      8             144,086 
 1279,706      8             145,055 
 1279,706      8             146,164 
 1279,706      8             147,039 
 1279,706      8             147,883 
 1279,706      8             149,04 
 1279,706      8             150,118 
 1279,706      8             151,165 
 1279,706      8             152,149 
 1279,706      8             152,915 
 1279,706      8             153,759 
 1279,706      8             154,806 
 1279,706      8             155,743 
 1279,706      8             156,681 
 1279,706      8             157,447 
 1279,706      8             158,587 
 1279,706      8             159,572 
 1279,706      8             160,384 
 1279,706      8             161,213 
 1279,706      8             162,353 
 1279,706      8             163,791 
 1279,706      8             164,838 
 1263,568      8             165,9 
 1263,568      8             166,854 
 1263,568      8             167,666 
 1263,568      8             168,604 
 1263,568      8             169,526 
 1263,568      8             170,729 
 1263,568      8             171,807 
 1263,568      8             172,635 
 1263,568      8             173,401 
 1263,568      8             174,245 
 1263,568      8             175,026 
 1263,568      8             175,901 
 1263,568      8             177,136 
 1263,568      8             178,089 
 1263,568      8             179,011 
 1263,568      8             180,027 
 1263,568      8             181,277 
 1263,568      8             182,167 
 1263,568      8             182,964 
 1263,568      8             183,839 
 1263,568      8             185,324 
 1263,568      8             186,246 
 1263,568      8             187,387 
 1263,568      8             188,246 
 1263,568      8             189,074 
 1263,568      8             189,918 
