Costo de la solución:
 1287,32158790144 

1	1	222,341	199	0	110	53	55	61	65	62	64	66	63	60	58	56	80	79	76	73	103	104	106	0
1	2	218,829	200	0	111	86	85	109	39	42	46	49	50	51	59	57	54	52	98	116	101	102	0
1	3	-0,001	0	0	0
1	4	199,459	200	0	21	20	26	28	30	33	27	25	24	22	16	12	9	10	4	3	5	6	7	84	0
1	5	195,748	200	0	92	91	90	114	29	32	35	36	34	31	23	19	17	8	118	18	89	87	0
1	6	180,749	189	0	93	94	97	37	38	41	44	47	48	45	43	40	115	96	95	0
1	7	130,65	192	0	99	100	68	77	78	75	72	74	71	70	69	67	107	105	0
1	8	139,541	195	0	88	82	108	13	14	15	11	1	2	83	113	117	112	81	119	120	0

Tiempo de ejecución:
 264,207843750002 
