Iteraciones:   96 

Costo         Vehículos     Tiempo [seg]
 1180,691      14            1,218 
 1180,691      14            1,609 
 1180,691      14            1,952 
 1180,691      14            2,359 
 1155,734      14            2,734 
 1155,734      14            3,077 
 1155,734      14            3,405 
 1136,431      14            3,765 
 1136,431      14            3,999 
 1136,431      14            4,281 
 1136,431      14            4,609 
 1136,431      14            4,952 
 1136,431      14            5,265 
 1136,431      14            5,562 
 1134,111      14            5,968 
 1134,111      14            6,343 
 1134,111      14            6,64 
 1134,111      14            6,89 
 1134,111      14            7,203 
 1134,111      14            7,578 
 1134,111      14            7,921 
 1120,682      14            8,296 
 1120,682      14            8,609 
 1120,682      14            8,953 
 1120,682      14            9,343 
 1120,682      14            9,703 
 1120,682      14            9,906 
 1120,682      14            10,187 
 1120,682      14            10,546 
 1120,682      14            11,031 
 1120,682      14            11,312 
 1120,682      14            11,609 
 1120,682      14            11,968 
 1120,682      14            12,359 
 1120,682      14            12,64 
 1120,682      14            12,968 
 1120,682      14            13,218 
 1120,682      14            13,578 
 1120,682      14            13,89 
 1120,682      14            14,203 
 1120,682      14            14,468 
 1120,682      14            14,797 
 1120,682      14            15,125 
 1120,682      14            15,453 
 1120,682      14            15,797 
 1104,845      14            16,172 
 1104,845      14            16,453 
 1104,845      14            16,703 
 1104,845      14            16,984 
 1104,845      14            17,391 
 1104,845      14            17,75 
 1104,845      14            18,031 
 1104,845      14            18,25 
 1104,845      14            18,609 
 1104,845      14            18,937 
 1104,845      14            19,219 
 1104,845      14            19,562 
 1104,845      14            19,859 
 1104,845      14            20,141 
 1104,845      14            20,453 
 1104,845      14            20,75 
 1104,845      14            21,125 
 1104,845      14            21,406 
 1104,845      14            21,734 
 1104,845      14            22,094 
 1104,845      14            22,391 
 1104,845      14            22,703 
 1104,845      14            23 
 1104,845      14            23,313 
 1104,845      14            23,563 
 1104,845      14            23,906 
 1104,845      14            24,219 
 1104,845      14            24,516 
 1104,845      14            24,797 
 1104,845      14            25,141 
 1104,845      14            25,516 
 1104,845      14            25,938 
 1104,845      14            26,297 
 1104,845      14            26,563 
 1104,845      14            26,813 
 1104,845      14            27,141 
 1104,845      14            27,422 
 1104,845      14            27,782 
 1104,845      14            28,016 
 1104,845      14            28,328 
 1104,845      14            28,641 
 1104,845      14            28,907 
 1104,845      14            29,235 
 1104,845      14            29,532 
 1104,845      14            29,829 
 1104,845      14            30,125 
 1104,845      14            30,407 
 1104,845      14            30,672 
 1104,845      14            30,954 
 1104,845      14            31,219 
 1104,845      14            31,516 
