Costo de la solución:
 3528,78739260105 

1	1	119,111	112	0	180	165	178	177	170	164		0
1	2	142,71	57	0	193	189	198	187	163		0
1	3	148,176	84	0	174	133	167	150	85		0
1	4	134,617	97	0	162	199	192	183	182	148		0
1	5	130,615	101	0	171	194	173	172	176	166		0
1	6	121,65	129	0	195	190	184	142	185	143	137		0
1	7	135,922	78	0	186	141	136	161	160	89		0
1	8	115,552	116	0	110	130	118	109	145	135	146	92		0
1	9	127,404	121	0	131	97	84	80	129	75	31		0
1	10	148,359	33	0	149	197	154	134		0
1	11	98,481	181	0	37	153	157	138	98	88	82	36	120	20		0
1	12	115,617	133	0	78	69	46	105	81	77	168	11		0
1	13	130,562	65	0	124	191	155	188	156	122		0
1	14	121,959	125	0	38	128	108	26	79	70	14		0
1	15	109,792	146	0	76	72	181	107	56	39	147	106	25		0
1	16	127,022	81	0	132	119	169	103	71	175	52		0
1	17	121,622	135	0	63	158	74	40	116	73	18		0
1	18	105,054	75	0	196	144	115	114	113		0
1	19	112,675	136	0	104	66	121	94	93	91	90	62		0
1	20	140,439	74	0	123	102	49	24	10		0
1	21	133,171	69	0	140	96	179	125	101	68		0
1	22	124,227	119	0	51	35	34	27	57	59	19		0
1	23	99,004	150	0	53	139	112	86	42	159	117	67	43	41		0
1	24	111,574	134	0	45	47	83	100	65	30	29	15		0
1	25	106,723	142	0	127	111	99	87	64	58	54	21	13		0
1	26	109,974	167	0	126	60	12	55	44	32	50	48	9		0
1	27	140,294	83	0	16	8	7	22	5		0
1	28	100,263	119	0	152	151	95	61	33	28	23		0
1	29	91,734	105	0	17	4	2	3	1		0
1	30	4,472	19	0	6		0
1	31	0	0	0		0
1	32	0	0	0		0

Tiempo de ejecución:
 91,6273437499985 
