Costo de la solución:
 3942,92018646132 

1	1	341,917	200	0	134	107	81	17	12	170	64	33	199	116	94	114	89	60	164		0
1	2	364,131	200	0	191	198	96	38	100	125	70	49	162	75	73	156	197	22	161	72	163		0
1	3	400,869	200	0	190	145	169	65	84	50	144	41	181	90	184	66	175	123	88	85		0
1	4	202,05	199	0	189	105	76	187	131	129	109	39	180	132	150	135	92	148		0
1	5	191,373	200	0	87	83	104	183	24	196	111	98	171	166		0
1	6	228,882	200	0	154	140	82	121	48	54	152	97	55	44	112	86	137		0
1	7	309,022	199	0	174	133	68	93	130	52	119	193	195	53	153	31		0
1	8	200,189	200	0	11	147	19	188	157	34	29	71	77	165		0
1	9	221,204	198	0	143	13	122	155	36	102	78	149	101	28	138	20		0
1	10	211,092	200	0	142	141	43	8	4	113	106	45	6	23	1	185		0
1	11	155,582	199	0	168	182	127	167	46	69	58	179	176	35	177	14		0
1	12	193,477	199	0	3	186	139	59	173	21	120	61	108	9	146		0
1	13	159,786	196	0	42	160	18	67	159	16	10	80	151	56	118	25		0
1	14	282,228	197	0	95	172	124	194	136	91	26	63	103	5	7	51	110		0
1	15	215,155	192	0	27	99	32	62	158	15	2	47	115	37		0
1	16	225,457	185	0	40	57	30	74	178	79	126	117	128		0
1	17	0	0	0	192		0

Tiempo de ejecución:
 3,04537500000151 
