Costo de la solución:
 4836,74322166772 

1	1	136,615	110	0	70	80	14	40	50	164		0
1	2	139,844	96	0	110	147	139	48	162	163		0
1	3	138,904	82	0	150	134	60	6	194	85		0
1	4	155,65	84	0	5	26	188	148		0
1	5	159,65	69	0	47	173	118	166		0
1	6	139,413	68	0	68	152	190	3	125	137		0
1	7	133,982	109	0	61	113	98	99	96	89		0
1	8	135,788	92	0	18	17	181	55	27	92		0
1	9	138,797	47	0	117	64	105	95	81	135		0
1	10	155,176	60	0	169	199	29	31		0
1	11	145,777	80	0	69	151	76	66	165		0
1	12	147,958	93	0	34	175	131	82	170		0
1	13	133,563	112	0	193	109	7	54	108	84		0
1	14	120,979	91	0	59	37	103	30	101	191	20		0
1	15	139,077	114	0	133	52	100	56	157	11		0
1	16	134,275	103	0	186	1	115	23	141	122		0
1	17	135,25	81	0	24	127	71	2	159	145		0
1	18	118,649	123	0	41	195	183	65	87	196	160	185		0
1	19	149,78	130	0	32	43	12	184	146		0
1	20	139,424	62	0	198	136	158	156	123	142		0
1	21	161,095	51	0	88	62	25		0
1	22	146,229	109	0	111	83	35	112	138		0
1	23	139,729	56	0	39	126	168	155	140	75		0
1	24	126,543	119	0	4	167	128	197	53	79	124		0
1	25	143,675	84	0	182	192	143	119	38		0
1	26	135,612	94	0	149	51	57	172	106	77		0
1	27	139,546	110	0	130	21	154	45	9	189		0
1	28	112,672	121	0	49	144	161	107	16	104	44	73		0
1	29	142,085	86	0	46	187	63	177	10		0
1	30	157,794	50	0	120	42	72	36		0
1	31	128,819	113	0	86	91	33	58	15	153	90		0
1	32	127,054	83	0	28	22	94	78	174	114		0
1	33	147,531	60	0	8	102	132	121	116		0
1	34	100,757	121	0	176	171	13	178	179	180	19		0
1	35	129,038	123	0	93	129	97	67	74		0
