Costo de la solución:
 1686,89919890141 

1	1	136,046	89	0	115	47	56	37	108	103		0
1	2	126,889	102	0	114	32	78	76	49	90	5		0
1	3	101,446	151	0	36	85	35	129	53	127	16	118	62		0
1	4	113,09	112	0	99	110	149	4	146	145	17	144		0
1	5	101,064	166	0	10	117	73	106	125	33	72	124	122	123		0
1	6	93,25	169	0	109	87	135	141	19	88	40	41	66	111		0
1	7	97,029	162	0	6	14	98	97	43	69	23	57	102	46		0
1	8	99,035	127	0	139	68	132	58	24	86	112	48	138	27		0
1	9	94,556	144	0	8	82	31	116	28	70	80	120	1	119		0
1	10	113,595	71	0	100	121	84	128	29	79	21	74		0
1	11	97,639	184	0	133	96	95	25	67	13	134	55	18	12		0
1	12	97,804	164	0	143	148	136	94	42	92	107	44	137	147		0
1	13	93,906	128	0	51	22	140	113	26	61	7	60	81	77		0
1	14	94,366	109	0	63	142	150	64	93	65	91	45	15	52		0
1	15	96,988	159	0	126	34	104	30	105	75	39	89	54	71		0
1	16	88	182	0	11	101	3	59	20	131	83	2	9	38		0
1	17	42,19	16	0	50	130		0

Tiempo de ejecución:
 143,531749999995 
