Costo de la solución:
 1105,03425890591 

1	1	86,458	125	0	57	20	37	5	48	29	45		0
1	2	69,725	125	0	47	21	74	30	2	75		0
1	3	109,013	131	0	31	10	58	53	11		0
1	4	80,508	118	0	51	6	4	15	34	67		0
1	5	103,274	47	0	69	71	70	60	36		0
1	6	78,334	134	0	26	35	19	8	27	13	52	46		0
1	7	85,214	96	0	41	42	43	1	73	62	68		0
1	8	65,163	118	0	12	72	39	9	32	44	3		0
1	9	93,134	140	0	7	14	59	66	65	38		0
1	10	94,288	94	0	63	56	23	24	49	16		0
1	11	133,275	44	0	64	54		0
1	12	89,543	83	0	61	22	28	33		0
1	13	92,812	109	0	50	18	55	25	40	17		0

Tiempo de ejecución:
 477,968624999994 
