Costo de la solución:
 949,82161041198 

1	1	110,83	122	0	4	25	55	24	29	34	78	81	33	50	28	0
1	2	101,61	151	0	18	82	48	47	36	46	8	45	83	60	89	0
1	3	74,967	159	0	12	76	77	3	79	68	80	54	26	0
1	4	100,661	193	0	58	2	75	23	67	39	56	72	21	40	53	0
1	5	64,455	98	0	31	88	62	10	70	69	27	0
1	6	110,097	184	0	59	61	16	44	14	38	86	17	84	5	0
1	7	115,147	134	0	30	20	66	65	71	35	9	51	1	0
1	8	92,469	116	0	73	74	22	41	57	15	43	42	87	13	0
1	9	58,411	183	0	94	95	97	92	37	98	100	91	85	93	99	96	6	0
1	10	121,169	118	0	32	90	63	11	64	49	19	7	52	0

Tiempo de ejecución:
 36,1221250000017 
