Iteraciones:   1014 

Costo         Vehículos     Tiempo [seg]
 0             0             0,607 
 925,901       10            1,121 
 925,901       10            1,698 
 919,569       10            2,415 
 876,266       10            3,522 
 876,266       10            4,503 
 876,266       10            5,407 
 876,266       10            6,265 
 876,266       10            7,325 
 876,266       10            8,54 
 876,266       10            9,429 
 876,266       10            10,286 
 876,266       10            11,143 
 852,449       10            12,141 
 852,449       10            13,122 
 852,449       10            14,104 
 852,449       10            15,102 
 852,449       10            15,975 
 852,449       10            16,972 
 852,449       10            18,032 
 852,449       10            19,076 
 852,449       10            20,261 
 852,449       10            21,274 
 852,449       10            22,116 
 852,449       10            23,222 
 852,449       10            24,111 
 852,449       10            24,983 
 852,449       10            25,841 
 852,449       10            26,604 
 852,449       10            27,477 
 852,449       10            28,334 
 852,449       10            29,316 
 852,449       10            30,22 
 852,449       10            31,202 
 852,449       10            32,387 
 852,449       10            33,135 
 852,449       10            34,101 
 852,449       10            34,958 
 852,449       10            35,816 
 852,449       10            36,813 
 852,449       10            37,655 
 852,449       10            38,637 
 852,449       10            39,51 
 852,449       10            40,601 
 852,449       10            41,707 
 852,449       10            42,689 
 852,449       10            43,546 
 852,449       10            44,31 
 852,449       10            45,276 
 852,449       10            46,274 
 852,449       10            47,24 
 852,449       10            48,238 
 852,449       10            49,204 
 852,449       10            50,186 
 852,449       10            51,184 
 852,449       10            52,025 
 852,449       10            52,882 
 852,449       10            53,74 
 852,449       10            54,488 
 852,449       10            55,47 
 852,449       10            56,218 
 852,449       10            57,309 
 852,449       10            58,057 
 852,449       10            59,023 
 852,449       10            59,88 
 852,449       10            60,738 
 852,449       10            61,486 
 852,449       10            62,452 
 852,449       10            63,341 
 852,449       10            64,307 
 852,449       10            65,289 
 852,449       10            66,021 
 852,449       10            66,894 
 852,449       10            67,876 
 852,449       10            68,609 
 852,449       10            69,591 
 852,449       10            70,448 
 852,449       10            71,321 
 852,449       10            72,178 
 852,449       10            73,144 
 852,449       10            74,126 
 852,449       10            74,874 
 852,449       10            75,716 
 852,449       10            76,698 
 852,449       10            77,555 
 852,449       10            78,537 
 852,449       10            79,41 
 852,449       10            80,267 
 852,449       10            81,249 
 852,449       10            82,106 
 852,449       10            82,854 
 852,449       10            83,821 
 852,449       10            84,678 
 852,449       10            85,535 
 852,449       10            86,517 
 852,449       10            87,499 
 852,449       10            88,387 
 852,449       10            89,354 
 852,449       10            90,226 
 852,449       10            91,193 
 852,449       10            92,066 
 852,449       10            93,032 
 852,449       10            94,014 
 852,449       10            94,996 
 852,449       10            95,978 
 852,449       10            96,85 
 852,449       10            97,832 
 852,449       10            98,69 
 852,449       10            99,781 
 852,449       10            100,653 
 852,449       10            101,511 
 852,449       10            102,477 
 852,449       10            103,241 
 852,449       10            104,207 
 852,449       10            105,08 
 852,449       10            106,046 
 852,449       10            106,81 
 852,449       10            107,667 
 852,449       10            108,524 
 852,449       10            109,366 
 852,449       10            110,13 
 852,449       10            110,987 
 852,449       10            111,953 
 852,449       10            112,951 
 852,449       10            113,917 
 852,449       10            114,79 
 852,449       10            115,647 
 852,449       10            116,614 
 852,449       10            117,471 
 852,449       10            118,328 
 852,449       10            119,216 
 852,449       10            120,183 
 852,449       10            121,18 
 852,449       10            122,178 
 852,449       10            123,144 
 852,449       10            124,017 
 852,449       10            124,999 
 852,449       10            125,965 
 852,449       10            126,947 
 852,449       10            127,82 
 852,449       10            128,786 
 852,449       10            129,768 
 852,449       10            130,641 
 852,449       10            131,607 
 852,449       10            132,511 
 852,449       10            133,368 
 852,449       10            134,335 
 852,449       10            135,099 
 852,449       10            136,19 
 852,449       10            137,062 
 852,449       10            137,904 
 852,449       10            138,777 
 852,449       10            139,634 
 852,449       10            140,491 
 852,449       10            141,473 
 852,449       10            142,564 
 852,449       10            143,421 
 852,449       10            144,279 
 852,449       10            145,152 
 852,449       10            146,009 
 852,449       10            147,256 
 852,449       10            148,128 
 852,449       10            149,001 
 852,449       10            149,858 
 852,449       10            150,716 
 852,449       10            151,682 
 852,449       10            152,43 
 852,449       10            153,287 
 852,449       10            154,16 
 852,449       10            155,049 
 852,449       10            156,015 
 852,449       10            157,153 
 852,449       10            158,01 
 852,449       10            158,992 
 852,449       10            159,974 
 852,449       10            160,956 
 852,449       10            161,938 
 852,449       10            162,966 
 852,449       10            163,886 
 852,449       10            164,868 
 852,449       10            165,772 
 852,449       10            166,629 
 852,449       10            167,517 
 852,449       10            168,375 
 852,449       10            169,216 
 852,449       10            170,198 
 852,449       10            171,196 
 852,449       10            172,209 
 852,449       10            173,082 
 852,449       10            173,83 
 852,449       10            174,687 
 852,449       10            175,575 
 852,449       10            176,557 
 852,449       10            177,43 
 852,449       10            178,568 
 852,449       10            179,316 
 852,449       10            180,298 
 852,449       10            181,28 
 852,449       10            182,262 
 852,449       10            183,119 
 852,449       10            183,867 
 852,449       10            184,724 
 852,449       10            185,706 
 852,449       10            186,564 
 852,449       10            187,545 
 852,449       10            188,512 
 852,449       10            189,385 
 852,449       10            190,351 
 852,449       10            191,224 
 852,449       10            192,081 
 852,449       10            192,954 
 852,449       10            194,045 
 852,449       10            194,902 
 852,449       10            195,759 
 852,449       10            196,757 
 852,449       10            197,598 
 852,449       10            198,471 
 852,449       10            199,453 
 852,449       10            200,435 
 852,449       10            201,401 
 852,449       10            202,274 
 852,449       10            203,256 
 852,449       10            204,004 
 852,449       10            204,986 
 852,449       10            206,077 
 852,449       10            206,934 
 852,449       10            207,807 
 852,449       10            208,789 
 852,449       10            209,755 
 852,449       10            210,504 
 852,449       10            211,47 
 852,449       10            212,327 
 852,449       10            213,2 
 852,449       10            214,166 
 852,449       10            215,039 
 852,449       10            215,896 
 852,449       10            216,878 
 852,449       10            217,736 
 852,449       10            218,593 
 852,449       10            219,45 
 852,449       10            220,323 
 852,449       10            221,289 
 852,449       10            222,271 
 852,449       10            223,128 
 852,449       10            224,001 
 852,449       10            224,858 
 852,449       10            225,716 
 852,449       10            226,588 
 852,449       10            227,57 
 852,449       10            228,537 
 852,449       10            229,394 
 852,449       10            230,376 
 852,449       10            231,233 
 852,449       10            232,09 
 852,449       10            232,963 
 852,449       10            233,945 
 852,449       10            234,818 
 852,449       10            235,675 
 852,449       10            236,641 
 852,449       10            237,499 
 852,449       10            238,496 
 852,449       10            239,462 
 852,449       10            240,335 
 852,449       10            241,192 
 852,449       10            242,159 
 852,449       10            243,016 
 852,449       10            243,889 
 852,449       10            244,871 
 852,449       10            245,744 
 852,449       10            246,741 
 852,449       10            247,723 
 852,449       10            248,705 
 852,449       10            249,578 
 852,449       10            250,56 
 852,449       10            251,417 
 852,449       10            252,633 
 852,449       10            253,614 
 852,449       10            254,487 
 852,449       10            255,454 
 852,449       10            256,451 
 852,449       10            257,293 
 852,449       10            258,166 
 852,449       10            259,116 
 852,449       10            260,005 
 852,449       10            260,893 
 852,449       10            261,906 
 852,449       10            262,826 
 852,449       10            263,808 
 852,449       10            264,665 
 852,449       10            265,803 
 852,449       10            266,644 
 852,449       10            267,626 
 852,449       10            268,546 
 852,449       10            269,419 
 852,449       10            270,401 
 852,449       10            271,305 
 852,449       10            272,287 
 852,449       10            273,128 
 852,449       10            274,172 
 852,449       10            275,154 
 852,449       10            276,261 
 852,449       10            277,134 
 852,449       10            277,975 
 852,449       10            278,864 
 852,449       10            279,721 
 852,449       10            280,578 
 852,449       10            281,42 
 852,449       10            282,308 
 852,449       10            283,275 
 852,449       10            284,147 
 852,449       10            285,129 
 852,449       10            286,002 
 852,449       10            286,875 
 852,449       10            287,841 
 852,449       10            288,839 
 852,449       10            289,821 
 852,449       10            290,803 
 852,449       10            291,66 
 852,449       10            292,533 
 852,449       10            293,499 
 852,449       10            294,481 
 852,449       10            295,369 
 852,449       10            296,227 
 852,449       10            297,084 
 852,449       10            297,941 
 852,449       10            298,814 
 852,449       10            299,796 
 852,449       10            300,669 
 852,449       10            301,651 
 852,449       10            302,632 
 852,449       10            303,505 
 852,449       10            304,362 
 852,449       10            305,329 
 852,449       10            306,186 
 852,449       10            307,043 
 852,449       10            307,916 
 852,449       10            308,789 
 852,449       10            309,631 
 852,449       10            310,503 
 852,449       10            311,345 
 852,449       10            312,327 
 852,449       10            313,309 
 852,449       10            314,182 
 852,449       10            315,148 
 852,449       10            316,005 
 852,449       10            316,878 
 852,449       10            317,751 
 852,449       10            318,748 
 852,449       10            319,746 
 852,449       10            320,603 
 852,449       10            321,46 
 852,449       10            322,567 
 852,449       10            323,658 
 852,449       10            324,515 
 852,449       10            325,388 
 852,449       10            326,354 
 852,449       10            327,227 
 852,449       10            328,24 
 852,449       10            329,082 
 852,449       10            330,064 
 852,449       10            330,921 
 852,449       10            331,841 
 852,449       10            332,807 
 852,449       10            333,742 
 852,449       10            334,49 
 852,449       10            335,347 
 852,449       10            336,205 
 852,449       10            337,124 
 852,449       10            338,122 
 852,449       10            339,275 
 852,449       10            340,273 
 852,449       10            341,27 
 852,449       10            342,252 
 852,449       10            343,125 
 852,449       10            344,263 
 852,449       10            345,26 
 852,449       10            346,133 
 852,449       10            347,224 
 852,449       10            348,206 
 852,449       10            349,188 
 852,449       10            350,045 
 852,449       10            350,918 
 852,449       10            351,775 
 852,449       10            352,648 
 852,449       10            353,38 
 852,449       10            354,362 
 852,449       10            355,344 
 852,449       10            356,311 
 852,449       10            357,183 
 852,449       10            358,15 
 852,449       10            359,023 
 852,449       10            359,88 
 852,449       10            360,737 
 852,449       10            361,61 
 852,449       10            362,467 
 852,449       10            363,324 
 852,449       10            364,291 
 852,449       10            365,163 
 852,449       10            366,021 
 852,449       10            366,987 
 852,449       10            367,844 
 852,449       10            368,608 
 852,449       10            369,45 
