Iteraciones:   1775 

Costo         Vehículos     Tiempo [seg]
 1502,544      8             0,704 
 1502,544      8             1,157 
 1472,271      8             1,594 
 1472,271      8             2,188 
 1424,897      8             2,766 
 1424,897      8             3,391 
 1351,833      8             4 
 1351,833      8             4,641 
 1351,833      8             5,313 
 1338,622      8             5,891 
 1338,622      8             6,5 
 1338,622      8             7,079 
 1338,622      8             7,75 
 1338,622      8             8,625 
 1338,622      8             9,204 
 1338,622      8             9,813 
 1338,622      8             10,438 
 1338,622      8             11,016 
 1338,622      8             11,688 
 1338,622      8             12,266 
 1338,622      8             12,875 
 1338,622      8             13,454 
 1338,622      8             14,063 
 1338,622      8             14,688 
 1338,622      8             15,313 
 1338,622      8             15,938 
 1338,622      8             16,516 
 1338,622      8             17,188 
 1338,622      8             17,829 
 1338,622      8             18,438 
 1338,622      8             19,079 
 1338,622      8             19,641 
 1338,622      8             20,25 
 1338,622      8             20,813 
 1338,622      8             21,438 
 1338,622      8             22,079 
 1338,622      8             22,641 
 1338,622      8             23,266 
 1338,622      8             23,875 
 1338,622      8             24,5 
 1338,622      8             25,125 
 1338,622      8             25,704 
 1338,622      8             26,329 
 1338,622      8             26,938 
 1273,004      8             27,625 
 1273,004      8             28,204 
 1273,004      8             28,875 
 1253,404      8             29,516 
 1253,404      8             30,125 
 1253,404      8             30,704 
 1253,404      8             31,313 
 1253,404      8             31,891 
 1253,404      8             32,516 
 1253,404      8             33,125 
 1253,404      8             33,704 
 1253,404      8             34,329 
 1253,404      8             34,954 
 1253,404      8             35,516 
 1253,404      8             36,141 
 1253,404      8             36,75 
 1253,404      8             37,391 
 1253,404      8             38,079 
 1253,404      8             38,641 
 1253,404      8             39,266 
 1253,404      8             39,829 
 1253,404      8             40,391 
 1253,404      8             41,016 
 1253,404      8             41,641 
 1253,404      8             42,266 
 1253,404      8             42,875 
 1253,404      8             43,5 
 1253,404      8             44,079 
 1253,404      8             44,641 
 1253,404      8             45,188 
 1253,404      8             45,766 
 1253,404      8             46,375 
 1253,404      8             46,954 
 1253,404      8             47,516 
 1253,404      8             48,141 
 1253,404      8             48,766 
 1253,404      8             49,375 
 1253,404      8             49,954 
 1253,404      8             50,625 
 1253,404      8             51,313 
 1253,404      8             52,016 
 1253,404      8             52,704 
 1253,404      8             53,313 
 1253,404      8             53,891 
 1253,404      8             54,454 
 1253,404      8             55,016 
 1253,404      8             55,641 
 1253,404      8             56,25 
 1253,404      8             56,875 
 1253,404      8             57,438 
 1253,404      8             58,016 
 1253,404      8             58,641 
 1253,404      8             59,313 
 1253,404      8             59,891 
 1253,404      8             60,5 
 1253,404      8             61,141 
 1253,404      8             61,688 
 1253,404      8             62,313 
 1253,404      8             62,875 
 1253,404      8             63,454 
 1253,404      8             64,063 
 1253,404      8             64,641 
 1253,404      8             65,204 
 1253,404      8             65,829 
 1253,404      8             66,391 
 1253,404      8             66,938 
 1253,404      8             67,563 
 1253,404      8             68,141 
 1253,404      8             68,829 
 1253,404      8             69,391 
 1253,404      8             70 
 1253,404      8             70,579 
 1253,404      8             71,188 
 1253,404      8             71,75 
 1253,404      8             72,391 
 1253,404      8             72,954 
 1253,404      8             73,579 
 1253,404      8             74,188 
 1253,404      8             74,766 
 1253,404      8             75,329 
 1253,404      8             75,891 
 1253,404      8             76,454 
 1253,404      8             77,079 
 1253,404      8             77,641 
 1253,404      8             78,266 
 1253,404      8             78,891 
 1253,404      8             79,454 
 1253,404      8             80,125 
 1253,404      8             80,766 
 1253,404      8             81,391 
 1253,404      8             82,063 
 1253,404      8             82,704 
 1253,404      8             83,313 
 1253,404      8             83,891 
 1253,404      8             84,516 
 1253,404      8             85,188 
 1253,404      8             85,766 
 1253,404      8             86,375 
 1253,404      8             86,954 
 1253,404      8             87,516 
 1253,404      8             88,125 
 1253,404      8             88,813 
 1253,404      8             89,391 
 1253,404      8             90,063 
 1253,404      8             90,75 
 1253,404      8             91,375 
 1253,404      8             92,063 
 1253,404      8             92,641 
 1253,404      8             93,313 
 1253,404      8             93,891 
 1253,404      8             94,5 
 1253,404      8             95,079 
 1253,404      8             95,704 
 1253,404      8             96,329 
 1253,404      8             96,891 
 1253,404      8             97,5 
 1253,404      8             98,063 
 1253,404      8             98,641 
 1253,404      8             99,313 
 1253,404      8             99,954 
 1253,404      8             100,579 
 1253,404      8             101,141 
 1253,404      8             101,704 
 1253,404      8             102,329 
 1253,404      8             102,954 
 1253,404      8             103,563 
 1253,404      8             104,125 
 1253,404      8             104,829 
 1253,404      8             105,391 
 1253,404      8             105,954 
 1253,404      8             106,579 
 1253,404      8             107,188 
 1253,404      8             107,813 
 1253,404      8             108,438 
 1253,404      8             109 
 1253,404      8             109,579 
 1253,404      8             110,141 
 1253,404      8             110,813 
 1253,404      8             111,438 
 1253,404      8             112,016 
 1253,404      8             112,625 
 1253,404      8             113,188 
 1253,404      8             113,75 
 1253,404      8             114,329 
 1253,404      8             114,938 
 1253,404      8             115,5 
 1253,404      8             116,079 
 1253,404      8             116,75 
 1253,404      8             117,375 
 1253,404      8             118,016 
 1253,404      8             118,625 
 1253,404      8             119,188 
 1253,404      8             119,766 
 1253,404      8             120,375 
 1253,404      8             121,016 
 1253,404      8             121,563 
 1253,404      8             122,141 
 1253,404      8             122,704 
 1253,404      8             123,313 
 1253,404      8             123,875 
 1253,404      8             124,5 
 1253,404      8             125,125 
 1253,404      8             125,75 
 1253,404      8             126,329 
 1253,404      8             126,938 
 1253,404      8             127,5 
 1253,404      8             128,079 
 1253,404      8             128,688 
 1253,404      8             129,25 
 1253,404      8             129,813 
 1253,404      8             130,375 
 1253,404      8             130,954 
 1253,404      8             131,563 
 1253,404      8             132,141 
 1253,404      8             132,704 
 1253,404      8             133,375 
 1253,404      8             133,938 
 1253,404      8             134,563 
 1253,404      8             135,125 
 1253,404      8             135,704 
 1253,404      8             136,329 
 1253,404      8             136,891 
 1253,404      8             137,438 
 1253,404      8             138,125 
 1253,404      8             138,704 
 1253,404      8             139,329 
 1253,404      8             139,875 
 1253,404      8             140,5 
 1253,404      8             141,125 
 1253,404      8             141,704 
 1253,404      8             142,313 
 1253,404      8             142,875 
 1253,404      8             143,438 
 1253,404      8             144,016 
 1253,404      8             144,579 
 1253,404      8             145,188 
 1253,404      8             145,75 
 1253,404      8             146,329 
 1253,404      8             147 
 1253,404      8             147,625 
 1253,404      8             148,204 
 1253,404      8             148,829 
 1253,404      8             149,438 
 1253,404      8             150,016 
 1253,404      8             150,704 
 1253,404      8             151,329 
 1253,404      8             151,891 
 1253,404      8             152,5 
 1253,404      8             153,125 
 1253,404      8             153,641 
 1253,404      8             154,25 
 1253,404      8             154,875 
 1253,404      8             155,454 
 1253,404      8             156,063 
 1253,404      8             156,641 
 1253,404      8             157,329 
 1253,404      8             157,891 
 1253,404      8             158,579 
 1253,404      8             159,141 
 1253,404      8             159,75 
 1253,404      8             160,313 
 1253,404      8             160,938 
 1253,404      8             161,625 
 1253,404      8             162,188 
 1253,404      8             162,829 
 1253,404      8             163,391 
 1253,404      8             164,063 
 1253,404      8             164,625 
 1253,404      8             165,188 
 1253,404      8             165,829 
 1253,404      8             166,454 
 1253,404      8             167,079 
 1253,404      8             167,688 
 1253,404      8             168,25 
 1253,404      8             168,813 
 1253,404      8             169,438 
 1253,404      8             170,063 
 1253,404      8             170,641 
 1253,404      8             171,25 
 1253,404      8             171,813 
 1253,404      8             172,391 
 1253,404      8             173 
 1253,404      8             173,516 
 1253,404      8             174,141 
 1253,404      8             174,688 
 1253,404      8             175,313 
 1253,404      8             175,954 
 1253,404      8             176,625 
 1253,404      8             177,188 
 1253,404      8             177,766 
 1253,404      8             178,329 
 1253,404      8             178,891 
 1253,404      8             179,516 
 1253,404      8             180,125 
 1253,404      8             180,704 
 1253,404      8             181,329 
 1253,404      8             181,938 
 1253,404      8             182,5 
 1253,404      8             183,016 
 1253,404      8             183,625 
 1253,404      8             184,188 
 1253,404      8             184,813 
 1253,404      8             185,329 
 1253,404      8             186 
 1253,404      8             186,579 
