Costo de la solución:
 872,76785914296 

1	1	117,928	163	0	50	33	81	9	35	71	65	66	20	51	1	0
1	2	117,549	178	0	52	7	19	11	64	49	36	47	48	82	18	0
1	3	107,076	153	0	54	55	25	39	67	23	56	4	26	0
1	4	116,091	198	0	2	15	43	14	44	38	86	16	61	59	94	0
1	5	90,12	155	0	31	88	62	10	63	90	32	30	70	69	27	0
1	6	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	7	88,597	90	0	5	84	17	45	46	8	83	60	89	0
1	8	87,075	196	0	13	87	42	57	41	22	75	74	72	73	21	40	58	53	0
1	9	-0,001	0	0	0
1	10	58,073	156	0	6	96	99	93	85	91	100	98	37	92	97	95	0

Tiempo de ejecución:
 4147,07934375 
