Iteraciones:   243 

Costo         Vehículos     Tiempo [seg]
 577,531       7             0,155 
 577,531       7             0,312 
 577,531       7             0,421 
 577,531       7             0,515 
 577,531       7             0,593 
 577,531       7             0,687 
 577,531       7             0,78 
 577,531       7             0,859 
 577,531       7             0,937 
 577,531       7             1,03 
 577,531       7             1,109 
 577,531       7             1,187 
 577,531       7             1,265 
 577,531       7             1,343 
 577,531       7             1,421 
 577,531       7             1,499 
 577,531       7             1,593 
 577,531       7             1,671 
 577,531       7             1,749 
 577,531       7             1,827 
 577,531       7             1,905 
 577,531       7             1,984 
 577,531       7             2,062 
 577,531       7             2,14 
 577,531       7             2,218 
 577,531       7             2,296 
 577,531       7             2,374 
 577,531       7             2,452 
 577,531       7             2,546 
 577,531       7             2,624 
 570,548       7             2,702 
 570,548       7             2,78 
 569,994       7             2,859 
 569,994       7             2,937 
 569,994       7             3,015 
 569,994       7             3,093 
 569,994       7             3,156 
 569,994       7             3,234 
 569,994       7             3,312 
 569,994       7             3,39 
 569,994       7             3,452 
 569,994       7             3,531 
 569,994       7             3,609 
 569,994       7             3,687 
 569,994       7             3,749 
 569,994       7             3,827 
 569,994       7             3,906 
 569,994       7             3,968 
 569,994       7             4,046 
 569,994       7             4,124 
 569,994       7             4,202 
 569,994       7             4,281 
 569,994       7             4,343 
 569,994       7             4,421 
 569,994       7             4,499 
 569,994       7             4,577 
 569,994       7             4,64 
 569,994       7             4,718 
 569,994       7             4,796 
 569,994       7             4,874 
 569,994       7             4,937 
 569,994       7             5,015 
 569,994       7             5,093 
 569,994       7             5,171 
 569,994       7             5,249 
 569,994       7             5,327 
 569,994       7             5,39 
 569,994       7             5,468 
 569,994       7             5,546 
 569,994       7             5,624 
 569,994       7             5,703 
 569,994       7             5,781 
 569,994       7             5,843 
 569,994       7             5,921 
 569,994       7             5,999 
 569,994       7             6,078 
 569,994       7             6,156 
 569,994       7             6,218 
 569,994       7             6,296 
 569,994       7             6,359 
 569,994       7             6,437 
 569,994       7             6,515 
 569,994       7             6,593 
 569,994       7             6,656 
 569,994       7             6,734 
 569,994       7             6,812 
 569,994       7             6,89 
 569,994       7             6,953 
 569,994       7             7,031 
 569,994       7             7,109 
 569,994       7             7,187 
 569,994       7             7,249 
 569,994       7             7,328 
 569,994       7             7,406 
 569,994       7             7,484 
 569,994       7             7,546 
 569,994       7             7,624 
 569,994       7             7,703 
 569,994       7             7,781 
 569,994       7             7,859 
 569,994       7             7,921 
 569,994       7             8 
 569,994       7             8,078 
 569,994       7             8,156 
 569,994       7             8,234 
 569,994       7             8,296 
 569,994       7             8,375 
 569,994       7             8,453 
 569,994       7             8,531 
 569,994       7             8,593 
 569,994       7             8,671 
 569,994       7             8,75 
 569,994       7             8,828 
 569,994       7             8,89 
 569,994       7             8,968 
 569,994       7             9,046 
 569,994       7             9,125 
 569,994       7             9,203 
 569,994       7             9,265 
 569,994       7             9,343 
 569,994       7             9,406 
 569,994       7             9,484 
 569,994       7             9,562 
 569,994       7             9,625 
 569,994       7             9,718 
 569,994       7             9,781 
 569,994       7             9,859 
 569,994       7             9,937 
 569,994       7             10 
 569,994       7             10,078 
 569,994       7             10,156 
 569,994       7             10,234 
 569,994       7             10,296 
 569,994       7             10,375 
 569,994       7             10,453 
