Costo de la solución:
 1222,46716087367 

1	1	109,178	112	0	121	115	36	85	35	84	128	126	78	0
1	2	112,461	131	0	81	61	114	99	43	86	97	24	0
1	3	99,85	189	0	9	104	30	39	89	117	73	106	122	71	0
1	4	99,722	178	0	150	64	88	40	136	13	67	134	55	47	0
1	5	-0,001	0	0	0
1	6	49,786	68	0	11	51	120	1	119	77	46	0
1	7	67,083	149	0	108	52	15	45	91	72	33	125	124	123	90	103	0
1	8	81,149	166	0	139	18	110	133	25	95	96	58	14	68	102	0
1	9	87,538	148	0	60	8	26	113	140	82	31	28	80	22	32	0
1	10	78,741	129	0	37	44	107	65	93	42	92	137	147	17	63	0
1	11	83,735	117	0	34	74	105	75	54	10	49	76	5	0
1	12	93,347	184	0	101	70	116	3	59	20	131	83	2	100	0
1	13	79,928	184	0	6	57	132	98	23	69	7	112	48	138	27	0
1	14	73,93	190	0	145	142	87	148	141	19	94	41	66	111	135	143	0
1	15	37,797	116	0	56	146	149	4	109	144	12	0
1	16	68,215	174	0	16	127	53	129	29	79	21	118	130	50	62	38	0

Tiempo de ejecución:
 4390,0073125 
