Costo de la solución:
 925,594954359561 

1	1	99,962	65	0	69	71	60	70	20	15	0
1	2	93,629	102	0	43	41	42	64	22	62	0
1	3	-0,001	0	0	0
1	4	73,82	140	0	45	29	5	37	36	47	48	75	0
1	5	17,124	48	0	26	67	0
1	6	81,234	113	0	73	1	56	23	63	33	6	0
1	7	87,379	134	0	58	10	31	9	39	72	12	0
1	8	77,157	129	0	53	11	66	65	38	0
1	9	92,321	117	0	40	25	55	18	50	32	0
1	10	74,378	140	0	30	74	21	61	28	2	68	0
1	11	73,733	111	0	51	16	49	24	3	44	17	0
1	12	81,356	138	0	7	35	14	59	19	8	46	0
1	13	73,495	127	0	4	27	57	13	54	52	34	0

Tiempo de ejecución:
 112,330906249997 
