Iteraciones:   127 

Costo         Vehículos     Tiempo [seg]
 1083,419      12            0,313 
 1047,895      12            0,469 
 1047,895      12            0,61 
 1017,799      12            0,766 
 957,009       12            0,922 
 953,124       12            1,094 
 912,315       12            1,25 
 882,542       12            1,422 
 882,542       12            1,563 
 882,542       12            1,735 
 882,542       12            1,875 
 882,542       12            2 
 882,542       12            2,141 
 882,542       12            2,266 
 882,542       12            2,391 
 882,542       12            2,532 
 875           12            2,688 
 875           12            2,828 
 875           12            2,969 
 875           12            3,11 
 875           12            3,25 
 861,369       12            3,375 
 850,003       12            3,532 
 850,003       12            3,672 
 850,003       12            3,813 
 850,003       12            3,954 
 822,667       12            4,079 
 822,667       12            4,219 
 822,667       12            4,344 
 822,667       12            4,5 
 822,667       12            4,641 
 822,667       12            4,797 
 822,667       12            4,922 
 822,667       12            5,063 
 822,667       12            5,219 
 822,667       12            5,344 
 822,667       12            5,485 
 822,667       12            5,61 
 822,667       12            5,751 
 822,667       12            5,891 
 822,667       12            6,047 
 822,667       12            6,188 
 822,667       12            6,344 
 822,667       12            6,485 
 822,667       12            6,626 
 822,667       12            6,782 
 822,667       12            6,907 
 822,667       12            7,032 
 822,667       12            7,157 
 822,667       12            7,313 
 822,667       12            7,454 
 822,667       12            7,594 
 822,667       12            7,704 
 822,667       12            7,86 
 822,667       12            7,985 
 822,667       12            8,126 
 822,667       12            8,251 
 822,667       12            8,407 
 822,667       12            8,532 
 822,667       12            8,673 
 822,667       12            8,829 
 822,667       12            8,954 
 822,667       12            9,079 
 822,667       12            9,204 
 822,667       12            9,376 
 822,667       12            9,501 
 822,667       12            9,641 
 822,667       12            9,782 
 822,667       12            9,923 
 822,667       12            10,048 
 822,667       12            10,188 
 822,667       12            10,329 
 822,667       12            10,47 
 822,667       12            10,595 
 822,667       12            10,72 
 822,667       12            10,845 
 822,667       12            10,985 
 822,667       12            11,126 
 822,667       12            11,251 
 822,667       12            11,392 
 822,667       12            11,517 
 822,667       12            11,626 
 822,667       12            11,767 
 822,667       12            11,923 
 822,667       12            12,063 
 822,667       12            12,188 
 822,667       12            12,329 
 822,667       12            12,454 
 822,667       12            12,595 
 822,667       12            12,751 
 822,667       12            12,892 
 822,667       12            13,032 
 822,667       12            13,173 
 822,667       12            13,298 
 822,667       12            13,423 
 822,667       12            13,564 
 822,667       12            13,689 
 822,667       12            13,814 
 822,667       12            13,939 
 822,667       12            14,079 
 822,667       12            14,204 
 822,667       12            14,345 
 822,667       12            14,485 
 822,667       12            14,626 
 822,667       12            14,767 
 822,667       12            14,892 
 822,667       12            15,017 
 822,667       12            15,157 
 822,667       12            15,282 
 822,667       12            15,423 
 822,667       12            15,548 
 822,667       12            15,689 
 822,667       12            15,829 
 822,667       12            15,954 
 822,667       12            16,095 
 822,667       12            16,236 
 822,667       12            16,392 
 822,667       12            16,532 
 822,667       12            16,657 
 822,667       12            16,782 
 822,667       12            16,907 
 822,667       12            17,048 
 822,667       12            17,204 
 822,667       12            17,329 
 822,667       12            17,486 
 822,667       12            17,611 
 822,667       12            17,736 
