Iteraciones:   149 

Costo         Vehículos     Tiempo [seg]
 0             0             5,624 
 0             0             7,874 
 0             0             10,108 
 0             0             12,452 
 0             0             14,733 
 0             0             16,968 
 0             0             19,171 
 0             0             21,39 
 0             0             23,593 
 1543,94       20            28,843 
 1517,044      20            33,577 
 1517,044      20            37,796 
 1487,188      20            42,624 
 1487,188      20            46,687 
 1487,188      20            50,296 
 1487,188      20            54,39 
 1456,856      20            60,265 
 1456,856      20            64,249 
 1456,856      20            68,171 
 1456,856      20            73,046 
 1456,856      20            77,109 
 1456,856      20            81,421 
 1456,856      20            85,749 
 1456,856      20            89,499 
 1454,287      20            94,171 
 1451,788      20            99,156 
 1451,788      20            102,999 
 1451,788      20            107,312 
 1451,788      20            111,578 
 1451,788      20            115,421 
 1451,788      20            118,343 
 1451,788      20            122,234 
 1451,788      20            126,031 
 1450,681      20            129,562 
 1450,681      20            133,265 
 1450,681      20            137,984 
 1450,681      20            143,172 
 1450,681      20            148,031 
 1450,681      20            152,328 
 1450,681      20            156,078 
 1435,769      20            160,078 
 1435,769      20            164,109 
 1435,769      20            169 
 1435,769      20            173,781 
 1435,769      20            177,859 
 1421,815      20            182,219 
 1421,815      20            185,562 
 1421,815      20            190,047 
 1403,08       20            194,313 
 1403,08       20            198,156 
 1403,08       20            201,906 
 1403,08       20            205,922 
 1403,08       20            209,969 
 1403,08       20            213,594 
 1403,08       20            217,516 
 1403,08       20            221,703 
 1403,08       20            225,844 
 1403,08       20            230,11 
 1403,08       20            233,36 
 1403,08       20            237,75 
 1403,08       20            241,688 
 1403,08       20            245,703 
 1403,08       20            249,922 
 1403,08       20            254,454 
 1403,08       20            258,594 
 1403,08       20            262,282 
 1403,08       20            267,626 
 1403,08       20            272,141 
 1403,08       20            276,157 
 1403,08       20            281,126 
 1403,08       20            285,204 
 1403,08       20            289,876 
 1403,08       20            294,251 
 1403,08       20            298,36 
 1403,08       20            302,251 
 1403,08       20            307,001 
 1403,08       20            311,345 
 1403,08       20            315,876 
 1403,08       20            321,032 
 1403,08       20            325,657 
 1403,08       20            329,845 
 1403,08       20            334,86 
 1403,08       20            339,485 
 1403,08       20            343,095 
 1403,08       20            347,251 
 1403,08       20            352,142 
 1403,08       20            355,829 
 1403,08       20            360,329 
 1403,08       20            365,095 
 1403,08       20            369,939 
 1403,08       20            373,907 
 1403,08       20            378,657 
 1403,08       20            382,532 
 1403,08       20            386,892 
 1403,08       20            390,798 
 1403,08       20            395,001 
 1403,08       20            398,798 
 1403,08       20            402,829 
 1403,08       20            407,251 
 1403,08       20            410,939 
 1403,08       20            414,533 
 1403,08       20            419,033 
 1403,08       20            423,017 
 1403,08       20            428,377 
 1403,08       20            432,455 
 1403,08       20            437,298 
 1403,08       20            441,752 
 1403,08       20            445,142 
 1403,08       20            448,939 
 1403,08       20            452,377 
 1403,08       20            457,424 
 1403,08       20            461,752 
 1403,08       20            466,392 
 1403,08       20            470,705 
 1403,08       20            475,267 
 1403,08       20            479,392 
 1403,08       20            484,033 
 1403,08       20            488,174 
 1403,08       20            492,033 
 1403,08       20            497,08 
 1403,08       20            501,627 
 1403,08       20            505,143 
 1403,08       20            509,455 
 1403,08       20            513,877 
 1403,08       20            517,815 
 1403,08       20            521,44 
 1403,08       20            526,221 
 1403,08       20            529,58 
 1403,08       20            532,862 
 1403,08       20            536,893 
 1403,08       20            541,846 
 1403,08       20            546,752 
 1403,08       20            551,299 
 1403,08       20            555,018 
 1403,08       20            559,768 
 1403,08       20            563,768 
 1403,08       20            567,846 
 1403,08       20            571,971 
 1403,08       20            576,049 
 1403,08       20            581,065 
 1403,08       20            584,674 
 1403,08       20            588,753 
 1403,08       20            593,721 
 1403,08       20            598,331 
 1403,08       20            602,425 
 1403,08       20            606,831 
 1403,08       20            610,55 
 1403,08       20            614,315 
 1403,08       20            618,346 
