Costo de la solución:
 1584,27974910158 

1	1	61,289	143	0	101	64	28	93	22	141	186	196	66	112	0
1	2	76,998	194	0	151	32	72	118	56	25	110	9	161	97	187	95	0
1	3	89,774	163	0	150	108	11	170	52	38	119	71	100	168	81	0
1	4	64,525	128	0	3	55	44	181	24	107	63	117	0
1	5	75,444	185	0	94	140	21	121	82	174	173	171	172	120	139	54	0
1	6	57,711	181	0	61	33	195	198	53	160	23	183	104	96	6	0
1	7	73,559	171	0	30	48	59	103	5	124	154	15	79	153	29	98	0
1	8	68,766	158	0	178	78	19	128	70	167	179	99	4	87	0
1	9	76,926	200	0	60	51	132	180	14	133	177	35	46	175	127	0
1	10	50,926	124	0	34	65	176	8	102	149	26	126	0
1	11	79,479	186	0	73	146	18	147	106	130	40	76	17	0
1	12	108,41	154	0	129	77	165	164	85	134	84	69	7	0
1	13	93,945	168	0	193	158	115	41	90	89	137	68	42	86	0
1	14	60,221	138	0	67	159	144	74	49	182	16	188	0
1	15	55,503	160	0	105	192	184	190	43	199	136	197	191	1	194	0
1	16	71,742	184	0	111	13	123	83	27	58	45	125	157	2	152	0
1	17	107,239	133	0	116	62	185	143	113	91	142	114	156	0
1	18	82,686	147	0	109	39	57	75	162	189	131	80	10	169	50	0
1	19	126,668	97	0	145	135	92	148	163	31	12	0
1	20	102,458	172	0	88	37	20	166	138	122	36	155	47	0

Tiempo de ejecución:
 101,390375000003 
