Iteraciones:   165 

Costo         Vehículos     Tiempo [seg]
 0             0             5,436 
 0             0             7,608 
 0             0             9,796 
 0             0             11,983 
 0             0             14,171 
 0             0             16,358 
 0             0             18,546 
 0             0             20,733 
 0             0             22,983 
 0             0             25,171 
 0             0             27,343 
 0             0             29,53 
 0             0             31,858 
 0             0             34,061 
 0             0             36,265 
 0             0             38,468 
 0             0             40,858 
 0             0             43,265 
 0             0             46,327 
 0             0             48,921 
 1592,578      20            53,921 
 1592,578      20            57,905 
 1571,059      20            63,343 
 1510,125      20            68,03 
 1487,263      20            73,327 
 1457,524      20            78,093 
 1457,524      20            82,077 
 1457,524      20            86,156 
 1457,524      20            91,702 
 1457,524      20            96,859 
 1433,604      20            102,484 
 1433,604      20            108,062 
 1433,604      20            113,562 
 1433,604      20            118,609 
 1433,604      20            122,844 
 1433,604      20            127,282 
 1433,604      20            132,361 
 1433,604      20            137,314 
 1433,604      20            141,377 
 1433,604      20            146,722 
 1433,604      20            151,285 
 1433,604      20            157,051 
 1433,604      20            162,145 
 1433,604      20            166,443 
 1431,8        20            170,693 
 1431,8        20            175,897 
 1431,8        20            181,163 
 1431,8        20            186,82 
 1431,8        20            191,18 
 1431,8        20            197,29 
 1423,241      20            204,681 
 1423,241      20            213,01 
 1423,241      20            219,417 
 1423,241      20            226,106 
 1423,241      20            231,544 
 1423,241      20            238,795 
 1423,241      20            244,42 
 1423,241      20            251,484 
 1423,241      20            257,984 
 1414,614      20            263,751 
 1414,614      20            270,908 
 1414,614      20            277,674 
 1414,614      20            283,769 
 1414,614      20            288,566 
 1376,673      20            295,629 
 1376,673      20            303,099 
 1376,673      20            309,381 
 1376,673      20            316,116 
 1376,673      20            322,195 
 1376,673      20            328,602 
 1376,673      20            336,165 
 1376,673      20            342,432 
 1376,673      20            348,995 
 1376,673      20            354,636 
 1376,673      20            360,465 
 1376,673      20            367,138 
 1376,673      20            374,076 
 1376,673      20            381,311 
 1376,673      20            388,687 
 1376,673      20            395,172 
 1376,673      20            401,86 
 1376,673      20            408,971 
 1376,673      20            416,253 
 1376,673      20            423,894 
 1376,673      20            431,238 
 1376,673      20            438,879 
 1376,673      20            444,785 
 1376,673      20            453,192 
 1376,673      20            459,583 
 1376,673      20            466,724 
 1376,673      20            473,396 
 1376,673      20            481,459 
 1376,673      20            488,115 
 1376,673      20            494,662 
 1376,673      20            501,397 
 1376,673      20            508,616 
 1376,673      20            515,648 
 1376,673      20            522,679 
 1376,673      20            531,023 
 1376,673      20            538,664 
 1376,673      20            547,524 
 1376,673      20            557,384 
 1376,673      20            566,134 
 1376,673      20            577,291 
 1376,673      20            586,963 
 1376,673      20            595,479 
 1376,673      20            602,87 
 1376,673      20            612,027 
 1376,673      20            622,762 
 1376,673      20            629,778 
 1376,673      20            637,153 
 1376,673      20            644,591 
 1376,673      20            652,107 
 1376,673      20            659,67 
 1376,673      20            667,592 
 1376,673      20            674,655 
 1376,673      20            683,405 
 1376,673      20            690,999 
 1376,673      20            697,047 
 1376,673      20            703,797 
 1376,673      20            710,563 
 1376,673      20            717,797 
 1376,673      20            725,344 
 1376,673      20            732,735 
 1376,673      20            740,47 
 1376,673      20            747,079 
 1376,673      20            753,126 
 1376,673      20            760,392 
 1376,673      20            767,08 
 1376,673      20            775,408 
 1376,673      20            782,783 
 1376,673      20            789,174 
 1376,673      20            796,971 
 1376,673      20            804,565 
 1376,673      20            813,065 
 1376,673      20            821,409 
 1376,673      20            828,706 
 1376,673      20            838,019 
 1376,673      20            845,394 
 1376,673      20            854,503 
 1376,673      20            862,535 
 1376,673      20            869,629 
 1376,673      20            878,582 
 1376,673      20            886,551 
 1376,673      20            894,973 
 1376,673      20            901,895 
 1376,673      20            909,442 
 1376,673      20            916,645 
 1376,673      20            924,411 
 1376,673      20            932,223 
 1376,673      20            939,942 
 1376,673      20            946,942 
 1376,673      20            954,036 
 1376,673      20            961,505 
 1376,673      20            968,818 
 1376,673      20            978,787 
 1376,673      20            986,693 
 1376,673      20            993,615 
 1376,673      20            1002,037 
 1376,673      20            1009,287 
 1376,673      20            1017,428 
 1376,673      20            1024,913 
 1376,673      20            1031,163 
 1376,673      20            1039,585 
 1376,673      20            1045,772 
