Costo de la solución:
 1432,6979831772 

1   1   169,096	200	0	76	70	20	25	29	27	30	28	26	23	22	21	0
1   2   193,36	200	0	7	11	9	6	4	3	71	46	45	48	51	50	52	49	47	0
1   3   205,353	200	0	5	1	73	77	79	61	64	62	65	67	66	69	68	59	40	44	42	41	0
1   4   169,73	200	0	100	91	81	78	80	72	74	63	0
1   5   136,89	200	0	35	60	58	56	53	54	55	57	0
1   6   168,516	200	0	90	89	82	94	92	93	97	96	12	19	18	0
1   7   94,261	200	0	24	34	36	39	38	37	33	32	31	0
1   8   155,264	200	0	88	98	14	16	15	17	13	43	0
1   9   108,6	190	0	10	8	2	99	95	85	84	83	86	87	0
1   10   31,622	20	0	75	0

Tiempo de ejecución:
 111,703374999997 
