Costo de la solución:
 1667,74478083216 

1	1	174,849	139	0	36	69	74	8	57	26	72	58	10	60		0
1	2	185,819	140	0	23	73	27	15	22	47	43	41	42	64		0
1	3	166,314	139	0	3	7	68	29	45	46	34	12	55		0
1	4	260,584	139	0	71	61	35	30	65	31	21	54	70		0
1	5	194,778	138	0	13	39	9	24	44	18	59		0
1	6	143,941	136	0	32	17	49	6	48	1	56		0
1	7	192,941	140	0	16	51	63	19	37	28	62	20		0
1	8	129,715	132	0	67	75	5	38	66		0
1	9	106,814	125	0	2	50	40	4	25		0
1	10	111,985	136	0	33	52	14	53	11		0

Tiempo de ejecución:
 0,498749999998836 
