Costo de la solución:
 1522,30622664593 

1	1	162,444	200	0	115	119	46	47	56	149	4	109	142	146	145	17	144	63	90		0
1	2	150,536	194	0	5	78	51	1	22	120	140	114	61	57	6	132	68	133	110	18		0
1	3	123,292	195	0	77	27	101	36	85	128	131	83	29	53	127	16	118	50	130		0
1	4	127,375	195	0	81	48	112	7	99	43	86	96	95	67	134	135		0
1	5	152,5	199	0	87	52	15	107	91	72	117	106	125	124	123	71	122	54	10	49		0
1	6	107,835	196	0	148	143	111	141	41	94	19	88	64	42	92	44	137		0
1	7	135,208	194	0	103	37	66	40	136	13	25	58	55	139	102		0
1	8	150,045	195	0	138	2	70	116	3	20	84	79	21	74	104	9	38		0
1	9	115,15	194	0	11	32	100	121	59	129	126	62	76	108	12		0
1	10	127,853	142	0	35	28	31	82	113	26	80	8	60		0
1	11	104,982	160	0	45	33	73	89	39	75	105	30	34		0
1	12	83,67	127	0	98	23	69	97	24	14		0
1	13	78,325	44	0	147	150	93	65		0

Tiempo de ejecución:
 8,67059375000099 
