Costo de la solución:
 1081,38848336644 

1	1	135,036	129	0	51	33	81	9	71	35	65	34	29		0
1	2	154,609	87	0	64	49	46	45	17	18	26		0
1	3	125,816	194	0	4	67	23	57	2	87	13	95	96	94		0
1	4	100,834	188	0	92	59	37	98	85	16	44	14	43	15	40	58		0
1	5	117,979	164	0	53	28	69	1	70	10	11	19	47	36	48		0
1	6	114,334	167	0	30	20	66	32	90	63	62	7	88	31	27		0
1	7	109,58	143	0	12	80	24	77	50	76	3	78	79	68		0
1	8	101,99	132	0	82	8	83	84	61	91	93	5	60	89	52		0
1	9	105,873	157	0	54	55	25	39	56	72	74	75	41	22	73	21		0
1	10	108,059	97	0	6	97	42	100	86	38	99		0

Tiempo de ejecución:
 98,9885625000024 
